id,created,updated,expired,type,abbrvname,name,mapped,extinct,overlay,jurisdiction_id,specialnotes,status,affordable_district,elderly_district,family1_treatment,family2_treatment,family3_treatment,family4_treatment,accessory_treatment,affordable_treatment,accessory_elderly_only,accessory_family_required,accessory_maxbedrooms,accessory_maxpercent,accessory_maxsqft,accessory_minlotacres,accessory_minparking,accessory_owner_required,accessory_primarystructure_only,accessory_renter_prohibited,affordable_definition,affordable_elderly_only,affordable_maxbedrooms,affordable_maxunitsperacre,affordable_maxunitsperbldg,affordable_minlotacres,affordable_minparking_1br,affordable_minparking_2br,affordable_minunitsqft,affordable_transit_required,affordable_water_required,family1_floorarearatio,family1_frontsetbackft,family1_maxheightft,family1_maxlotcoverage_building,family1_maxlotcoverage_buildingimpervious,family1_maxstories,family1_minlotacres,family1_minparking,family1_minunitsqft,family1_rearsetbackft,family1_sidesetbackft,family2_affordable_only,family2_elderly_only,family2_floorarearatio,family2_frontsetbackft,family2_maxheightft,family2_maxlotcoverage_building,family2_maxlotcoverage_buildingimpervious,family2_maxstories,family2_maxunitsperacre,family2_minlotacres,family2_minparking_1br,family2_minparking_2br,family2_minunitsqft,family2_rearsetbackft,family2_sidesetbackft,family3_affordable_only,family3_elderly_only,family3_floorarearatio,family3_frontsetbackft,family3_maxbedrooms,family3_maxheightft,family3_maxlotcoverage_building,family3_maxlotcoverage_buildingimpervious,family3_maxstories,family3_maxunitsperacre,family3_minlotacres,family3_minparking_1br,family3_minparking_2br,family3_minunitsqft,family3_rearsetbackft,family3_sidesetbackft,family3_transit_required,family3_water_required,family4_affordable_only,family4_elderly_only,family4_floorarearatio,family4_frontsetbackft,family4_maxbedrooms,family4_maxheightft,family4_maxlotcoverage_building,family4_maxlotcoverage_buildingimpervious,family4_maxstories,family4_maxunitsperacre,family4_maxunitsperbldg,family4_minlotacres,family4_minparking_1br,family4_minparking_2br,family4_minunitsqft,family4_rearsetbackft,family4_sidesetbackft,family4_transit_required,family4_water_required,plannedresidential_maxunits,plannedresidential_maxunitsperacre,plannedresidential_minlotacres,plannedresidential_mobilehome,plannedresidential_treatment,tooltipnotes,accessory_maxbedrooms_units,accessory_maxpercent_units,accessory_maxsqft_units,accessory_minlotacres_units,accessory_minparking_units,affordable_maxbedrooms_units,affordable_maxunitsperacre_units,affordable_maxunitsperbldg_units,affordable_minlotacres_units,affordable_minparking_1br_units,affordable_minparking_2br_units,affordable_minunitsqft_units,family1_floorarearatio_units,family1_frontsetbackft_units,family1_maxheightft_units,family1_maxlotcoverage_building_units,family1_maxlotcoverage_buildingimpervious_units,family1_maxstories_units,family1_minlotacres_units,family1_minparking_units,family1_minunitsqft_units,family1_rearsetbackft_units,family1_sidesetbackft_units,family2_floorarearatio_units,family2_frontsetbackft_units,family2_maxheightft_units,family2_maxlotcoverage_building_units,family2_maxlotcoverage_buildingimpervious_units,family2_maxstories_units,family2_maxunitsperacre_units,family2_minlotacres_units,family2_minparking_1br_units,family2_minparking_2br_units,family2_minunitsqft_units,family2_rearsetbackft_units,family2_sidesetbackft_units,family3_floorarearatio_units,family3_frontsetbackft_units,family3_maxbedrooms_units,family3_maxheightft_units,family3_maxlotcoverage_building_units,family3_maxlotcoverage_buildingimpervious_units,family3_maxstories_units,family3_maxunitsperacre_units,family3_minlotacres_units,family3_minparking_1br_units,family3_minparking_2br_units,family3_minunitsqft_units,family3_rearsetbackft_units,family3_sidesetbackft_units,family4_floorarearatio_units,family4_frontsetbackft_units,family4_maxbedrooms_units,family4_maxheightft_units,family4_maxlotcoverage_building_units,family4_maxlotcoverage_buildingimpervious_units,family4_maxstories_units,family4_maxunitsperacre_units,family4_maxunitsperbldg_units,family4_minlotacres_units,family4_minparking_1br_units,family4_minparking_2br_units,family4_minunitsqft_units,family4_rearsetbackft_units,family4_sidesetbackft_units,plannedresidential_maxunits_units,plannedresidential_maxunitsperacre_units,plannedresidential_minlotacres_units,customfielddata,effectivedate,acres,nonresidential_type,jurisdiction,govtype,haszoning,zoningcodepages,county,county_id,state
26890,2023-06-24,2023-06-24,NA,,C-4,Highway and Extensive Sales and Service Commercial,NA,NA,FALSE,3085,,inprogress,NA,NA,,,,,,,NA,NA,,,,,,NA,NA,NA,,NA,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,,,,NA,,,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,"{""27_56"": """", ""27_57"": """", ""27_58"": """", ""27_59"": """", ""27_60"": """", ""27_61"": """", ""27_62"": """", ""27_63"": """", ""27_64"": """", ""27_65"": """", ""27_66"": """", ""27_67"": """", ""27_68"": """", ""27_69"": """", ""27_70"": """", ""27_71"": """", ""27_72"": """", ""27_73"": """", ""27_74"": """", ""27_75"": """", ""27_76"": """", ""27_77"": """", ""27_78"": """", ""27_79"": """", ""27_80"": """", ""27_81"": """"}",2023-06-24,0,,Breckenridge Hills,,TRUE,64,St. Louis County,5097,MO
26891,2023-06-24,2023-06-24,NA,,M-1,Manufacturing,NA,NA,FALSE,3085,,inprogress,NA,NA,,,,,,,NA,NA,,,,,,NA,NA,NA,,NA,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,,,,NA,,,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,"{""27_56"": """", ""27_57"": """", ""27_58"": """", ""27_59"": """", ""27_60"": """", ""27_61"": """", ""27_62"": """", ""27_63"": """", ""27_64"": """", ""27_65"": """", ""27_66"": """", ""27_67"": """", ""27_68"": """", ""27_69"": """", ""27_70"": """", ""27_71"": """", ""27_72"": """", ""27_73"": """", ""27_74"": """", ""27_75"": """", ""27_76"": """", ""27_77"": """", ""27_78"": """", ""27_79"": """", ""27_80"": """", ""27_81"": """"}",2023-06-24,0,,Breckenridge Hills,,TRUE,64,St. Louis County,5097,MO
26892,2023-06-24,2023-06-24,NA,,DAR,Drug and Alcohol Rehabilitation,NA,NA,FALSE,3085,,inprogress,NA,NA,,,,,,,NA,NA,,,,,,NA,NA,NA,,NA,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,,,,NA,,,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,"{""27_56"": """", ""27_57"": """", ""27_58"": """", ""27_59"": """", ""27_60"": """", ""27_61"": """", ""27_62"": """", ""27_63"": """", ""27_64"": """", ""27_65"": """", ""27_66"": """", ""27_67"": """", ""27_68"": """", ""27_69"": """", ""27_70"": """", ""27_71"": """", ""27_72"": """", ""27_73"": """", ""27_74"": """", ""27_75"": """", ""27_76"": """", ""27_77"": """", ""27_78"": """", ""27_79"": """", ""27_80"": """", ""27_81"": """"}",2023-06-24,0,,Breckenridge Hills,,TRUE,64,St. Louis County,5097,MO
26887,2023-06-24,2023-06-24,NA,,C-1,Neighborhood Commercial,NA,NA,FALSE,3085,,inprogress,NA,NA,,,,,,,NA,NA,,,,,,NA,NA,NA,,NA,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,,,,NA,,,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,"{""27_56"": """", ""27_57"": """", ""27_58"": """", ""27_59"": """", ""27_60"": """", ""27_61"": """", ""27_62"": """", ""27_63"": """", ""27_64"": """", ""27_65"": """", ""27_66"": """", ""27_67"": """", ""27_68"": """", ""27_69"": """", ""27_70"": """", ""27_71"": """", ""27_72"": """", ""27_73"": """", ""27_74"": """", ""27_75"": """", ""27_76"": """", ""27_77"": """", ""27_78"": """", ""27_79"": """", ""27_80"": """", ""27_81"": """"}",2023-06-24,0,,Breckenridge Hills,,TRUE,64,St. Louis County,5097,MO
26889,2023-06-24,2023-06-24,NA,,C-3,Cluster Shopping and Service Commercial,NA,NA,FALSE,3085,,inprogress,NA,NA,,,,,,,NA,NA,,,,,,NA,NA,NA,,NA,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,,,,NA,,,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,"{""27_56"": """", ""27_57"": """", ""27_58"": """", ""27_59"": """", ""27_60"": """", ""27_61"": """", ""27_62"": """", ""27_63"": """", ""27_64"": """", ""27_65"": """", ""27_66"": """", ""27_67"": """", ""27_68"": """", ""27_69"": """", ""27_70"": """", ""27_71"": """", ""27_72"": """", ""27_73"": """", ""27_74"": """", ""27_75"": """", ""27_76"": """", ""27_77"": """", ""27_78"": """", ""27_79"": """", ""27_80"": """", ""27_81"": """"}",2023-06-24,0,,Breckenridge Hills,,TRUE,64,St. Louis County,5097,MO
26882,2023-06-24,2023-06-24,NA,,PS,Park and Scenic,NA,NA,FALSE,3085,,inprogress,NA,NA,,,,,,,NA,NA,,,,,,NA,NA,NA,,NA,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,,,,NA,,,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,"{""27_56"": """", ""27_57"": """", ""27_58"": """", ""27_59"": """", ""27_60"": """", ""27_61"": """", ""27_62"": """", ""27_63"": """", ""27_64"": """", ""27_65"": """", ""27_66"": """", ""27_67"": """", ""27_68"": """", ""27_69"": """", ""27_70"": """", ""27_71"": """", ""27_72"": """", ""27_73"": """", ""27_74"": """", ""27_75"": """", ""27_76"": """", ""27_77"": """", ""27_78"": """", ""27_79"": """", ""27_80"": """", ""27_81"": """"}",2023-06-24,0,,Breckenridge Hills,,TRUE,64,St. Louis County,5097,MO
26885,2023-06-24,2023-06-24,NA,,R-3,Residence,NA,NA,FALSE,3085,,inprogress,NA,NA,,,,,,,NA,NA,,,,,,NA,NA,NA,,NA,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,,,,NA,,,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,"{""27_56"": """", ""27_57"": """", ""27_58"": """", ""27_59"": """", ""27_60"": """", ""27_61"": """", ""27_62"": """", ""27_63"": """", ""27_64"": """", ""27_65"": """", ""27_66"": """", ""27_67"": """", ""27_68"": """", ""27_69"": """", ""27_70"": """", ""27_71"": """", ""27_72"": """", ""27_73"": """", ""27_74"": """", ""27_75"": """", ""27_76"": """", ""27_77"": """", ""27_78"": """", ""27_79"": """", ""27_80"": """", ""27_81"": """"}",2023-06-24,0,,Breckenridge Hills,,TRUE,64,St. Louis County,5097,MO
31133,2023-07-06,2024-02-12,NA,R,B,Single-Family Dwelling,TRUE,FALSE,FALSE,3129,,done,FALSE,FALSE,allowed,prohibited,prohibited,prohibited,allowed,nomention,FALSE,TRUE,,30% required rear yard,,,,FALSE,FALSE,TRUE,,NA,,,,,,,,NA,NA,,30,35,,,2.5,0.17,,,"30' or 20% lot depth, whichever smaller",6,NA,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,,,,NA,nomention,Front setback: Various lot-specific setback scenarios also provided for.,notapplicable,contextual,notapplicable,notapplicable,notapplicable,number,number,number,number,number,number,number,notapplicable,number,number,notapplicable,notapplicable,number,number,notapplicable,notapplicable,contextual,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,"{""27_56"": """", ""27_57"": """", ""27_58"": """", ""27_59"": """", ""27_60"": """", ""27_61"": """", ""27_62"": """", ""27_63"": """", ""27_64"": """", ""27_65"": """", ""27_66"": """", ""27_67"": """", ""27_68"": """", ""27_69"": """", ""27_70"": """", ""27_71"": """", ""27_72"": """", ""27_73"": """", ""27_74"": """", ""27_75"": """", ""27_76"": """", ""27_77"": """", ""27_78"": """", ""27_79"": """", ""27_80"": """", ""27_81"": """"}",2023-07-06,0,,Normandy,municipal,TRUE,62,St. Louis County,5097,MO
31134,2023-07-06,2024-02-12,NA,R,C,Two-Family Dwelling,TRUE,FALSE,FALSE,3129,,done,FALSE,FALSE,allowed,allowed,prohibited,prohibited,allowed,nomention,FALSE,TRUE,,30% of required rear yard,,,,FALSE,FALSE,TRUE,,NA,,,,,,,,NA,NA,,30,35,,,2.5,0.18,,,"30' or 20% lot depth, whichever smaller",6,FALSE,FALSE,,30,35,,,2.5,,0.18,2,2,,"30' or 20% lot depth, whichever smaller",6,NA,NA,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,,,,NA,nomention,Front setback: Various lot-specific setback scenarios also provided for.,number,contextual,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,contextual,number,number,number,number,number,number,number,number,number,number,number,number,contextual,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,"{""27_56"": """", ""27_57"": """", ""27_58"": """", ""27_59"": """", ""27_60"": """", ""27_61"": """", ""27_62"": """", ""27_63"": """", ""27_64"": """", ""27_65"": """", ""27_66"": """", ""27_67"": """", ""27_68"": """", ""27_69"": """", ""27_70"": """", ""27_71"": """", ""27_72"": """", ""27_73"": """", ""27_74"": """", ""27_75"": """", ""27_76"": """", ""27_77"": """", ""27_78"": """", ""27_79"": """", ""27_80"": """", ""27_81"": """"}",2023-07-06,0,,Normandy,municipal,TRUE,62,St. Louis County,5097,MO
31137,2023-07-06,2024-02-12,NA,X,F,Commercial,TRUE,FALSE,FALSE,3129,,done,FALSE,FALSE,prohibited,prohibited,prohibited,prohibited,nomention,prohibited,NA,NA,,,,,,NA,NA,NA,,NA,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,,,,NA,nomention,,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,"{""27_56"": ""t"", ""27_57"": """", ""27_58"": """", ""27_59"": """", ""27_60"": ""45"", ""27_61"": ""3"", ""27_62"": ""t"", ""27_63"": """", ""27_64"": """", ""27_65"": """", ""27_66"": ""45"", ""27_67"": ""3"", ""27_68"": ""f"", ""27_69"": ""f"", ""27_70"": """", ""27_71"": """", ""27_72"": """", ""27_73"": """", ""27_74"": """", ""27_75"": ""f"", ""27_76"": """", ""27_77"": """", ""27_78"": """", ""27_79"": """", ""27_80"": """", ""27_81"": ""f""}",2023-07-06,0,commercial,Normandy,municipal,TRUE,62,St. Louis County,5097,MO
31132,2023-07-06,2024-02-12,NA,R,A,Single-Family Dwelling,TRUE,FALSE,FALSE,3129,,done,FALSE,FALSE,allowed,prohibited,prohibited,prohibited,allowed,nomention,FALSE,TRUE,,30% required rear yard,,,,FALSE,FALSE,TRUE,,NA,,,,,,,,NA,NA,,30,35,,,2.5,0.23,,,"30' or 20% lot depth, whichever larger, but <40'",8,NA,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,,,,NA,nomention,Front setback: Various lot-specific setback scenarios also provided for.,number,contextual,number,number,number,number,number,number,number,number,number,number,notapplicable,number,number,notapplicable,notapplicable,number,number,notapplicable,notapplicable,contextual,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,"{""27_56"": """", ""27_57"": """", ""27_58"": """", ""27_59"": """", ""27_60"": """", ""27_61"": """", ""27_62"": """", ""27_63"": """", ""27_64"": """", ""27_65"": """", ""27_66"": """", ""27_67"": """", ""27_68"": """", ""27_69"": """", ""27_70"": """", ""27_71"": """", ""27_72"": """", ""27_73"": """", ""27_74"": """", ""27_75"": """", ""27_76"": """", ""27_77"": """", ""27_78"": """", ""27_79"": """", ""27_80"": """", ""27_81"": """"}",2023-07-06,0,,Normandy,municipal,TRUE,62,St. Louis County,5097,MO
31135,2023-07-06,2024-02-12,NA,R,D,Multiple Dwelling,TRUE,FALSE,FALSE,3129,,inprogress,FALSE,FALSE,allowed,allowed,allowed,allowed,allowed,nomention,FALSE,TRUE,,30% of required rear yard,,,,FALSE,FALSE,TRUE,,NA,,,,,,,,NA,NA,,30,45,,,3; 2.5/group dwelling,0.17,,,"30' or 20% lot depth, whichever smaller/≤2.5 stories; 40/3 stories",6/≤2.5 stories; 15/3 stories,FALSE,FALSE,,30,45,,,3; 2.5/group dwelling,,0.18,,,,"30' or 20% lot depth, whichever smaller/≤2.5 stories; 40/3 stories",6/≤2.5 stories; 15/3 stories,FALSE,FALSE,,30,,45,,,3; 2.5/row and group dwelling,,0.28,2,2,,"30' or 20% lot depth, whichever smaller/≤2.5 stories; 40/3 stories",6/≤2.5 stories; 15/3 stories,FALSE,FALSE,FALSE,FALSE,,30,,45,,,3; 2.5/row and group dwelling,,,0.28; 0.32/single level or ranchette,2,2,,"30' or 20% lot depth, whichever smaller/2.5 stories; 40/3 stories",6/2.5 stories; 15/3 stories,FALSE,FALSE,,,,NA,nomention,"Lot size: Single level or ranchette type construction shall provide a minimum area of not less than three thousand five hundred (3,500) square feet per family.",notapplicable,contextual,notapplicable,notapplicable,notapplicable,number,number,number,number,number,number,number,notapplicable,number,number,notapplicable,notapplicable,contextual,number,notapplicable,notapplicable,contextual,contextual,notapplicable,number,number,notapplicable,notapplicable,contextual,notapplicable,number,notapplicable,notapplicable,notapplicable,contextual,contextual,notapplicable,number,notapplicable,number,notapplicable,notapplicable,contextual,notapplicable,number,number,number,notapplicable,contextual,contextual,notapplicable,number,notapplicable,number,notapplicable,notapplicable,contextual,notapplicable,notapplicable,contextual,number,number,notapplicable,contextual,contextual,number,number,number,"{""27_56"": """", ""27_57"": """", ""27_58"": """", ""27_59"": """", ""27_60"": """", ""27_61"": """", ""27_62"": """", ""27_63"": """", ""27_64"": """", ""27_65"": """", ""27_66"": """", ""27_67"": """", ""27_68"": """", ""27_69"": """", ""27_70"": """", ""27_71"": """", ""27_72"": """", ""27_73"": """", ""27_74"": """", ""27_75"": """", ""27_76"": """", ""27_77"": """", ""27_78"": """", ""27_79"": """", ""27_80"": """", ""27_81"": """"}",2023-07-06,0,,Normandy,municipal,TRUE,62,St. Louis County,5097,MO
31136,2023-07-06,2024-02-12,NA,X,E,Local Business; Neighborhood Shopping,TRUE,FALSE,FALSE,3129,,done,FALSE,FALSE,prohibited,prohibited,prohibited,prohibited,nomention,prohibited,NA,NA,,,,,,NA,NA,NA,,NA,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,,,,NA,nomention,,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,"{""27_56"": ""t"", ""27_57"": """", ""27_58"": """", ""27_59"": """", ""27_60"": ""45"", ""27_61"": ""3"", ""27_62"": ""t"", ""27_63"": """", ""27_64"": """", ""27_65"": """", ""27_66"": ""45"", ""27_67"": ""3"", ""27_68"": ""f"", ""27_69"": ""f"", ""27_70"": """", ""27_71"": """", ""27_72"": """", ""27_73"": """", ""27_74"": """", ""27_75"": ""f"", ""27_76"": """", ""27_77"": """", ""27_78"": """", ""27_79"": """", ""27_80"": """", ""27_81"": ""f""}",2023-07-06,0,retail,Normandy,municipal,TRUE,62,St. Louis County,5097,MO
53215,2023-12-23,2024-02-12,NA,M,Community Unit Plan,Community Unit Plan,FALSE,FALSE,TRUE,3129,,done,FALSE,FALSE,hearing,hearing,hearing,hearing,nomention,nomention,NA,NA,,,,,,NA,NA,NA,,NA,,,,,,,,NA,NA,,,,,,,≥min. lot size of district in which development is located,,,,,FALSE,FALSE,,,,,,,,≥min. lot size of district in which development is located,,,,,,FALSE,FALSE,,,,,,,,,≥min. lot size of district in which development is located,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,≥min. lot size of district in which development is located,,,,,,FALSE,FALSE,,,5,FALSE,hearing,"According to §410.210, any new residential subdivision with at least fifty (50) lots, recorded after February 10, 1969, may have up to three (3) local business lots per fifty (50) residential lots or dwelling units. The total frontage of the three (3) local business lots should not exceed 300 lineal feet, and they must comply with ""E"" Neighborhood Shopping District regulations, including required off-street parking. No public hearing is needed for local business lots' approval in a new subdivision, except if the planned business lots face a street within 185 feet of an ""A"" or ""B"" Single-Family Dwelling District.",number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,contextual,number,number,number,number,number,number,number,number,number,number,number,contextual,number,number,number,number,number,number,number,number,number,number,number,number,number,contextual,number,number,number,number,number,number,number,number,number,number,number,number,number,number,contextual,number,number,number,number,number,number,number,number,"{""27_56"": ""t"", ""27_57"": """", ""27_58"": """", ""27_59"": """", ""27_60"": ""45"", ""27_61"": ""3"", ""27_62"": ""t"", ""27_63"": """", ""27_64"": """", ""27_65"": """", ""27_66"": ""45"", ""27_67"": ""3"", ""27_68"": ""f"", ""27_69"": ""f"", ""27_70"": """", ""27_71"": """", ""27_72"": """", ""27_73"": """", ""27_74"": """", ""27_75"": ""f"", ""27_76"": """", ""27_77"": """", ""27_78"": """", ""27_79"": """", ""27_80"": """", ""27_81"": ""f""}",2023-12-23,0,retail,Normandy,municipal,TRUE,62,St. Louis County,5097,MO
31139,2023-07-06,2024-02-12,NA,M,SUD,Special Use,FALSE,FALSE,TRUE,3129,,done,FALSE,FALSE,overlay,overlay,overlay,overlay,nomention,nomention,NA,NA,,,,,,NA,NA,NA,,NA,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,,,,NA,nomention,Non-residential uses are overlay treatment.,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,"{""27_56"": """", ""27_57"": """", ""27_58"": """", ""27_59"": """", ""27_60"": """", ""27_61"": """", ""27_62"": """", ""27_63"": """", ""27_64"": """", ""27_65"": """", ""27_66"": """", ""27_67"": """", ""27_68"": """", ""27_69"": """", ""27_70"": """", ""27_71"": """", ""27_72"": """", ""27_73"": """", ""27_74"": """", ""27_75"": """", ""27_76"": """", ""27_77"": """", ""27_78"": """", ""27_79"": """", ""27_80"": """", ""27_81"": """"}",2023-07-06,0,commercial,Normandy,municipal,TRUE,62,St. Louis County,5097,MO
31138,2023-07-06,2024-02-12,NA,X,G,Light Industrial,FALSE,FALSE,FALSE,3129,,done,FALSE,FALSE,prohibited,prohibited,prohibited,prohibited,nomention,prohibited,NA,NA,,,,,,NA,NA,NA,,NA,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,,,,NA,nomention,"Height: For a building on a lot next to a dwelling district or a publicly owned area (excluding alleys or streets), the height limit is three (3) stories or forty-five (45) feet, unless it is set back one (1) foot for every two (2) additional feet above forty-five (45) feet.",number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,"{""27_56"": ""f"", ""27_57"": """", ""27_58"": """", ""27_59"": """", ""27_60"": """", ""27_61"": """", ""27_62"": ""f"", ""27_63"": """", ""27_64"": """", ""27_65"": """", ""27_66"": """", ""27_67"": """", ""27_68"": ""f"", ""27_69"": ""t"", ""27_70"": """", ""27_71"": """", ""27_72"": """", ""27_73"": ""100"", ""27_74"": ""8"", ""27_75"": ""f"", ""27_76"": """", ""27_77"": """", ""27_78"": """", ""27_79"": """", ""27_80"": """", ""27_81"": ""f""}",2023-07-06,0,industrial,Normandy,municipal,TRUE,62,St. Louis County,5097,MO
